hotel,arrival_date_year,arrival_date_month,market_segment,customer_type,deposit_type,lead_time_category,canceled_bookings,lost_revenue,avg_adr,avg_stay_duration
Resort Hotel,2016,July,Online TA,Transient,No Deposit,181-365 Days,78,77650.48,128.98,7.63
Resort Hotel,2016,July,Online TA,Transient,No Deposit,91-180 Days,113,116632.12,174.04,6.04
Resort Hotel,2016,July,Offline TA/TO,Transient,No Deposit,91-180 Days,30,24020.55,129.33,6.2
Resort Hotel,2016,July,Offline TA/TO,Contract,No Deposit,91-180 Days,5,4904.42,90.87,10.4
Resort Hotel,2016,July,Online TA,Transient-Party,No Deposit,31-90 Days,1,109.5,36.5,3.0
Resort Hotel,2016,July,Direct,Transient,No Deposit,181-365 Days,7,8748.24,152.6,7.71
Resort Hotel,2016,July,Offline TA/TO,Contract,No Deposit,365+ Days,1,1347.3,134.73,10.0
Resort Hotel,2016,July,Corporate,Transient,No Deposit,0-30 Days,8,1056.0,96.5,1.5
Resort Hotel,2016,July,Offline TA/TO,Transient,No Deposit,0-30 Days,3,2288.15,143.32,4.33
Resort Hotel,2016,July,Direct,Transient,No Deposit,91-180 Days,15,19999.01,189.79,7.33
Resort Hotel,2016,July,Offline TA/TO,Transient,No Deposit,181-365 Days,9,7346.46,112.5,7.11
Resort Hotel,2016,July,Direct,Transient,No Deposit,0-30 Days,17,11757.97,175.45,3.59
Resort Hotel,2016,July,Direct,Transient,No Deposit,31-90 Days,5,3807.58,175.89,4.6
Resort Hotel,2016,July,Complementary,Transient,No Deposit,0-30 Days,1,0.0,0.0,1.0
Resort Hotel,2016,July,Direct,Transient-Party,No Deposit,0-30 Days,3,798.0,144.67,1.67
Resort Hotel,2016,July,Online TA,Transient-Party,No Deposit,91-180 Days,1,1170.0,195.0,6.0
Resort Hotel,2016,July,Direct,Transient-Party,No Deposit,31-90 Days,1,1120.0,160.0,7.0
Resort Hotel,2016,July,Groups,Transient-Party,No Deposit,91-180 Days,4,3381.0,141.5,6.0
Resort Hotel,2016,July,Direct,Group,No Deposit,0-30 Days,1,910.0,130.0,7.0
Resort Hotel,2016,July,Groups,Transient,No Deposit,91-180 Days,1,1112.0,139.0,8.0
Resort Hotel,2016,August,Online TA,Transient,No Deposit,91-180 Days,159,192224.27,214.06,5.68
Resort Hotel,2016,August,Direct,Transient,No Deposit,181-365 Days,13,10075.87,147.37,4.92
Resort Hotel,2016,August,Online TA,Transient,No Deposit,181-365 Days,78,79389.02,156.78,6.54
Resort Hotel,2016,August,Offline TA/TO,Transient,No Deposit,91-180 Days,14,16185.55,148.19,7.71
Resort Hotel,2016,August,Online TA,Transient,No Deposit,31-90 Days,113,115348.68,217.8,4.71
Resort Hotel,2016,August,Online TA,Transient,No Deposit,0-30 Days,69,52599.18,229.78,3.29
Resort Hotel,2016,August,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,2,2397.5,171.25,7.0
Resort Hotel,2016,August,Direct,Transient,No Deposit,91-180 Days,15,20275.85,223.38,6.07
Resort Hotel,2016,August,Direct,Transient,No Deposit,0-30 Days,13,5343.53,189.56,2.08
Resort Hotel,2016,August,Direct,Transient,No Deposit,31-90 Days,17,18590.5,210.06,5.29
Resort Hotel,2016,August,Offline TA/TO,Contract,No Deposit,365+ Days,2,2361.1,124.45,10.5
Resort Hotel,2016,August,Offline TA/TO,Transient,No Deposit,181-365 Days,18,18584.44,123.73,8.22
Resort Hotel,2016,August,Online TA,Transient-Party,No Deposit,31-90 Days,2,836.0,209.0,2.0
Resort Hotel,2016,August,Corporate,Transient,No Deposit,0-30 Days,1,197.1,197.1,1.0
Resort Hotel,2016,August,Direct,Transient-Party,No Deposit,31-90 Days,1,3039.96,217.14,14.0
Resort Hotel,2016,August,Offline TA/TO,Transient-Party,No Deposit,181-365 Days,6,4916.49,121.98,6.83
Resort Hotel,2016,August,Online TA,Transient-Party,No Deposit,91-180 Days,4,5265.0,216.5,5.75
Resort Hotel,2016,August,Offline TA/TO,Transient,No Deposit,0-30 Days,1,1459.36,208.48,7.0
Resort Hotel,2016,August,Offline TA/TO,Transient,No Deposit,31-90 Days,2,1536.0,144.0,5.5
Resort Hotel,2016,September,Online TA,Transient,No Deposit,181-365 Days,74,52561.61,106.16,6.73
Resort Hotel,2016,September,Online TA,Transient,No Deposit,31-90 Days,72,36216.05,149.3,3.26
Resort Hotel,2016,September,Online TA,Transient,No Deposit,0-30 Days,27,10100.59,149.48,2.44
Resort Hotel,2016,September,Online TA,Transient,No Deposit,91-180 Days,49,31149.69,129.85,4.96
Resort Hotel,2016,September,Direct,Transient,No Deposit,181-365 Days,5,2667.3,116.61,4.2
Resort Hotel,2016,September,Offline TA/TO,Transient,No Deposit,91-180 Days,9,6192.1,96.17,7.11
Resort Hotel,2016,September,Offline TA/TO,Contract,No Deposit,181-365 Days,7,5646.45,72.32,10.86
Resort Hotel,2016,September,Direct,Transient,No Deposit,0-30 Days,17,8098.58,132.95,3.06
Resort Hotel,2016,September,Offline TA/TO,Transient,No Deposit,181-365 Days,23,13390.27,79.56,7.09
Resort Hotel,2016,September,Direct,Transient,No Deposit,91-180 Days,6,5790.18,160.51,6.67
Resort Hotel,2016,September,Groups,Transient,Non Refund,181-365 Days,4,1720.2,81.15,5.5
Resort Hotel,2016,September,Direct,Transient,No Deposit,31-90 Days,6,3569.2,151.88,4.0
Resort Hotel,2016,September,Groups,Transient-Party,No Deposit,181-365 Days,4,1106.0,64.5,4.25
Resort Hotel,2016,September,Corporate,Transient,No Deposit,0-30 Days,5,527.1,105.42,1.0
Resort Hotel,2016,September,Online TA,Group,No Deposit,181-365 Days,1,665.0,95.0,7.0
Resort Hotel,2016,September,Groups,Transient,Non Refund,365+ Days,1,264.0,66.0,4.0
Resort Hotel,2016,September,Offline TA/TO,Transient-Party,No Deposit,365+ Days,1,256.0,64.0,4.0
Resort Hotel,2016,September,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,2,372.1,90.05,2.5
Resort Hotel,2016,September,Offline TA/TO,Transient,No Deposit,0-30 Days,2,708.0,84.0,4.0
Resort Hotel,2016,September,Online TA,Transient-Party,No Deposit,91-180 Days,3,2248.96,107.09,7.0
Resort Hotel,2016,September,Complementary,Transient,No Deposit,0-30 Days,1,0.0,0.0,7.0
Resort Hotel,2016,September,Groups,Transient-Party,No Deposit,91-180 Days,1,810.0,81.0,10.0
Resort Hotel,2016,September,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,1,304.0,76.0,4.0
Resort Hotel,2016,September,Offline TA/TO,Transient,Non Refund,181-365 Days,2,345.6,57.6,3.0
Resort Hotel,2016,October,Online TA,Transient,No Deposit,31-90 Days,79,28634.0,82.68,4.38
Resort Hotel,2016,October,Online TA,Transient,No Deposit,0-30 Days,41,12115.34,94.93,3.07
Resort Hotel,2016,October,Offline TA/TO,Transient,Non Refund,91-180 Days,1,208.0,52.0,4.0
Resort Hotel,2016,October,Online TA,Transient,No Deposit,181-365 Days,34,16302.19,76.16,6.18
Resort Hotel,2016,October,Online TA,Transient,No Deposit,365+ Days,2,2192.4,52.2,21.0
Resort Hotel,2016,October,Offline TA/TO,Transient,No Deposit,91-180 Days,2,368.0,46.0,4.0
Resort Hotel,2016,October,Online TA,Transient,No Deposit,91-180 Days,76,24435.51,81.12,4.13
Resort Hotel,2016,October,Offline TA/TO,Transient,No Deposit,181-365 Days,9,3933.12,68.47,6.78
Resort Hotel,2016,October,Groups,Transient-Party,No Deposit,0-30 Days,15,1732.0,39.87,3.2
Resort Hotel,2016,October,Groups,Transient-Party,No Deposit,181-365 Days,9,4294.89,67.04,7.11
Resort Hotel,2016,October,Groups,Transient-Party,No Deposit,365+ Days,3,535.0,48.67,3.67
Resort Hotel,2016,October,Direct,Transient,No Deposit,181-365 Days,2,1263.6,64.94,9.0
Resort Hotel,2016,October,Complementary,Transient,No Deposit,91-180 Days,2,0.0,0.0,2.0
Resort Hotel,2016,October,Direct,Transient,No Deposit,0-30 Days,16,1619.7,67.78,1.5
Resort Hotel,2016,October,Groups,Transient-Party,No Deposit,91-180 Days,15,3763.85,65.59,3.6
Resort Hotel,2016,October,Groups,Transient-Party,Refundable,365+ Days,1,48.0,48.0,1.0
Resort Hotel,2016,October,Groups,Transient,Non Refund,365+ Days,1,288.0,72.0,4.0
Resort Hotel,2016,October,Online TA,Transient-Party,No Deposit,91-180 Days,7,2415.18,62.25,5.57
Resort Hotel,2016,October,Offline TA/TO,Contract,No Deposit,365+ Days,3,2197.0,61.37,12.0
Resort Hotel,2016,October,Corporate,Transient-Party,No Deposit,0-30 Days,2,101.4,50.7,1.0
Resort Hotel,2016,October,Corporate,Transient,No Deposit,0-30 Days,6,375.0,49.83,1.33
Resort Hotel,2016,October,Complementary,Transient,No Deposit,0-30 Days,2,0.0,0.0,2.0
Resort Hotel,2016,October,Online TA,Transient-Party,No Deposit,181-365 Days,9,4783.31,75.93,7.0
Resort Hotel,2016,October,Groups,Transient,Non Refund,181-365 Days,1,111.0,37.0,3.0
Resort Hotel,2016,October,Direct,Transient,No Deposit,91-180 Days,1,652.05,93.15,7.0
Resort Hotel,2016,October,Groups,Transient-Party,No Deposit,31-90 Days,4,1008.0,72.75,3.25
Resort Hotel,2016,October,Direct,Transient,No Deposit,365+ Days,2,403.2,50.4,4.0
Resort Hotel,2016,October,Online TA,Transient-Party,No Deposit,0-30 Days,2,105.6,52.8,1.0
Resort Hotel,2016,October,Offline TA/TO,Transient,No Deposit,31-90 Days,4,718.52,55.97,3.25
Resort Hotel,2016,October,Offline TA/TO,Transient,No Deposit,0-30 Days,3,270.0,44.0,2.0
Resort Hotel,2016,October,Direct,Transient,No Deposit,31-90 Days,6,3694.38,81.19,7.5
Resort Hotel,2016,October,Complementary,Transient,No Deposit,31-90 Days,1,0.0,0.0,1.0
Resort Hotel,2016,October,Groups,Transient,No Deposit,0-30 Days,2,36.0,18.0,1.0
Resort Hotel,2016,October,Online TA,Transient-Party,No Deposit,31-90 Days,1,264.6,37.8,7.0
Resort Hotel,2016,November,Online TA,Transient,No Deposit,0-30 Days,31,4911.5,55.52,2.87
Resort Hotel,2016,November,Groups,Transient,Non Refund,365+ Days,3,276.0,46.0,2.0
Resort Hotel,2016,November,Online TA,Transient,No Deposit,31-90 Days,86,17889.49,51.07,4.29
Resort Hotel,2016,November,Online TA,Transient,No Deposit,91-180 Days,30,6788.24,48.28,4.57
Resort Hotel,2016,November,Direct,Transient,No Deposit,31-90 Days,7,1798.18,54.89,4.43
Resort Hotel,2016,November,Groups,Transient-Party,No Deposit,181-365 Days,2,76.0,38.0,1.0
Resort Hotel,2016,November,Groups,Transient-Party,No Deposit,0-30 Days,1,38.0,38.0,1.0
Resort Hotel,2016,November,Online TA,Transient,No Deposit,181-365 Days,12,2798.1,53.77,4.08
Resort Hotel,2016,November,Direct,Transient,No Deposit,0-30 Days,6,785.55,46.55,2.83
Resort Hotel,2016,November,Complementary,Transient,No Deposit,0-30 Days,1,0.0,0.0,2.0
Resort Hotel,2016,November,Groups,Transient,Non Refund,181-365 Days,4,360.0,30.0,3.0
Resort Hotel,2016,November,Direct,Transient-Party,No Deposit,0-30 Days,1,85.0,85.0,1.0
Resort Hotel,2016,November,Offline TA/TO,Transient,No Deposit,181-365 Days,1,188.51,26.93,7.0
Resort Hotel,2016,November,Online TA,Transient-Party,No Deposit,31-90 Days,1,187.2,46.8,4.0
Resort Hotel,2016,November,Corporate,Transient,No Deposit,0-30 Days,3,245.0,36.67,2.0
Resort Hotel,2016,November,Offline TA/TO,Transient,No Deposit,0-30 Days,3,718.0,43.33,5.0
Resort Hotel,2016,November,Groups,Transient-Party,No Deposit,91-180 Days,2,272.0,34.0,4.0
Resort Hotel,2016,November,Groups,Transient-Party,No Deposit,31-90 Days,2,292.0,57.0,2.5
Resort Hotel,2016,November,Offline TA/TO,Group,No Deposit,0-30 Days,1,0.0,0.0,0.0
Resort Hotel,2016,November,Corporate,Transient-Party,No Deposit,0-30 Days,3,95.0,31.67,1.0
Resort Hotel,2016,November,Corporate,Transient,No Deposit,31-90 Days,1,16.0,8.0,2.0
Resort Hotel,2016,November,Complementary,Transient,No Deposit,31-90 Days,1,0.0,0.0,1.0
Resort Hotel,2016,December,Online TA,Transient-Party,No Deposit,0-30 Days,2,191.0,64.0,1.5
Resort Hotel,2016,December,Online TA,Transient,No Deposit,0-30 Days,27,5304.49,64.29,2.89
Resort Hotel,2016,December,Online TA,Transient,No Deposit,31-90 Days,53,11681.3,70.13,3.36
Resort Hotel,2016,December,Online TA,Transient,No Deposit,91-180 Days,45,13411.21,72.91,4.47
Resort Hotel,2016,December,Direct,Transient,No Deposit,31-90 Days,8,2866.98,129.38,3.88
Resort Hotel,2016,December,Groups,Transient-Party,No Deposit,91-180 Days,2,128.0,64.0,1.0
Resort Hotel,2016,December,Groups,Transient,Non Refund,181-365 Days,2,432.0,72.0,3.0
Resort Hotel,2016,December,Offline TA/TO,Transient,No Deposit,91-180 Days,2,160.2,34.2,2.5
Resort Hotel,2016,December,Groups,Transient-Party,No Deposit,0-30 Days,9,2244.75,83.14,3.0
Resort Hotel,2016,December,Complementary,Transient-Party,No Deposit,0-30 Days,1,0.0,0.0,3.0
Resort Hotel,2016,December,Online TA,Transient,No Deposit,181-365 Days,41,19760.32,80.75,7.02
Resort Hotel,2016,December,Groups,Transient-Party,No Deposit,31-90 Days,2,813.2,186.65,3.0
Resort Hotel,2016,December,Offline TA/TO,Transient,No Deposit,31-90 Days,4,1191.6,112.5,3.25
Resort Hotel,2016,December,Offline TA/TO,Transient,No Deposit,0-30 Days,4,1219.6,56.95,6.0
Resort Hotel,2016,December,Direct,Transient,No Deposit,0-30 Days,11,1545.56,60.83,2.09
Resort Hotel,2016,December,Direct,Transient-Party,No Deposit,0-30 Days,1,95.0,95.0,1.0
Resort Hotel,2016,December,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,1,54.0,27.0,2.0
Resort Hotel,2016,December,Direct,Transient,No Deposit,181-365 Days,5,2580.51,89.61,5.8
Resort Hotel,2016,December,Corporate,Transient,No Deposit,0-30 Days,4,177.0,33.0,1.25
Resort Hotel,2016,December,Direct,Transient,No Deposit,91-180 Days,3,2229.3,106.37,9.33
Resort Hotel,2016,December,Direct,Transient-Party,No Deposit,91-180 Days,1,251.1,50.22,5.0
Resort Hotel,2016,December,Online TA,Transient-Party,No Deposit,31-90 Days,2,739.6,92.45,4.0
Resort Hotel,2016,December,Online TA,Transient-Party,No Deposit,91-180 Days,6,2902.88,77.79,6.33
Resort Hotel,2016,December,Offline TA/TO,Transient,No Deposit,181-365 Days,4,963.07,69.75,3.25
Resort Hotel,2016,December,Groups,Transient-Party,No Deposit,181-365 Days,4,1764.0,147.0,3.0
Resort Hotel,2016,December,Complementary,Transient,No Deposit,31-90 Days,1,0.0,0.0,3.0
Resort Hotel,2016,December,Direct,Transient-Party,No Deposit,31-90 Days,1,550.0,275.0,2.0
Resort Hotel,2017,January,Online TA,Transient,No Deposit,31-90 Days,58,15379.46,52.35,5.28
Resort Hotel,2017,January,Online TA,Transient,No Deposit,91-180 Days,31,10037.94,54.24,5.81
Resort Hotel,2017,January,Offline TA/TO,Transient,No Deposit,0-30 Days,3,740.6,47.47,5.67
Resort Hotel,2017,January,Direct,Transient,No Deposit,91-180 Days,2,307.04,40.91,3.5
Resort Hotel,2017,January,Online TA,Transient,No Deposit,0-30 Days,38,5923.53,64.46,2.37
Resort Hotel,2017,January,Direct,Transient,No Deposit,31-90 Days,5,1358.54,62.29,4.4
Resort Hotel,2017,January,Direct,Transient,No Deposit,0-30 Days,11,1202.84,37.77,3.55
Resort Hotel,2017,January,Online TA,Transient,No Deposit,181-365 Days,8,2167.8,48.3,5.75
Resort Hotel,2017,January,Offline TA/TO,Transient,No Deposit,181-365 Days,1,1428.0,25.5,56.0
Resort Hotel,2017,January,Corporate,Transient,No Deposit,0-30 Days,7,319.0,35.57,1.29
Resort Hotel,2017,January,Complementary,Transient,No Deposit,0-30 Days,3,0.0,0.0,1.33
Resort Hotel,2017,January,Groups,Transient-Party,No Deposit,31-90 Days,9,1430.0,55.0,2.89
Resort Hotel,2017,January,Groups,Transient-Party,No Deposit,0-30 Days,6,740.0,47.5,2.5
Resort Hotel,2017,January,Online TA,Transient-Party,No Deposit,91-180 Days,1,522.0,87.0,6.0
Resort Hotel,2017,January,Online TA,Transient-Party,No Deposit,31-90 Days,1,144.0,48.0,3.0
Resort Hotel,2017,January,Groups,Transient-Party,Non Refund,0-30 Days,2,68.0,34.0,1.0
Resort Hotel,2017,January,Direct,Transient,No Deposit,181-365 Days,1,200.88,50.22,4.0
Resort Hotel,2017,February,Online TA,Transient,No Deposit,31-90 Days,71,15244.9,58.58,3.49
Resort Hotel,2017,February,Online TA,Transient,No Deposit,0-30 Days,70,12710.22,62.24,2.79
Resort Hotel,2017,February,Online TA,Transient,No Deposit,91-180 Days,38,10873.03,54.05,5.26
Resort Hotel,2017,February,Direct,Transient,No Deposit,0-30 Days,17,2329.0,52.91,2.35
Resort Hotel,2017,February,Online TA,Transient-Party,No Deposit,31-90 Days,4,650.0,41.0,4.0
Resort Hotel,2017,February,Offline TA/TO,Transient,No Deposit,0-30 Days,8,1917.45,49.48,4.5
Resort Hotel,2017,February,Offline TA/TO,Transient,No Deposit,31-90 Days,5,1067.0,44.2,5.4
Resort Hotel,2017,February,Offline TA/TO,Transient,No Deposit,181-365 Days,3,677.97,40.17,5.67
Resort Hotel,2017,February,Complementary,Transient,No Deposit,0-30 Days,1,0.0,0.0,1.0
Resort Hotel,2017,February,Online TA,Transient,No Deposit,181-365 Days,16,8047.88,59.28,9.13
Resort Hotel,2017,February,Direct,Transient,No Deposit,31-90 Days,14,2673.07,60.53,3.21
Resort Hotel,2017,February,Offline TA/TO,Transient,No Deposit,91-180 Days,3,1787.8,36.27,16.33
Resort Hotel,2017,February,Groups,Transient,Non Refund,181-365 Days,2,202.0,50.5,2.0
Resort Hotel,2017,February,Online TA,Transient-Party,No Deposit,0-30 Days,2,228.0,54.0,2.0
Resort Hotel,2017,February,Direct,Transient,No Deposit,91-180 Days,1,305.1,101.7,3.0
Resort Hotel,2017,February,Corporate,Transient,No Deposit,0-30 Days,7,355.0,35.71,1.43
Resort Hotel,2017,February,Corporate,Transient-Party,No Deposit,0-30 Days,6,584.0,44.83,2.17
Resort Hotel,2017,February,Corporate,Transient-Party,No Deposit,31-90 Days,7,1236.0,45.71,3.71
Resort Hotel,2017,February,Direct,Transient-Party,No Deposit,0-30 Days,1,80.0,80.0,1.0
Resort Hotel,2017,February,Groups,Transient-Party,No Deposit,0-30 Days,6,736.0,37.33,3.67
Resort Hotel,2017,February,Complementary,Transient,No Deposit,31-90 Days,1,0.0,0.0,1.0
Resort Hotel,2017,February,Groups,Transient,Non Refund,31-90 Days,3,210.0,35.0,2.0
Resort Hotel,2017,February,Direct,Transient,No Deposit,181-365 Days,1,279.0,55.8,5.0
Resort Hotel,2017,March,Online TA,Transient,No Deposit,181-365 Days,25,14649.18,56.52,8.88
Resort Hotel,2017,March,Groups,Transient-Party,No Deposit,181-365 Days,17,9721.4,49.51,11.12
Resort Hotel,2017,March,Groups,Transient-Party,No Deposit,0-30 Days,11,3435.0,45.0,5.82
Resort Hotel,2017,March,Groups,Transient-Party,No Deposit,31-90 Days,7,4491.0,50.66,12.14
Resort Hotel,2017,March,Online TA,Transient,No Deposit,0-30 Days,36,6910.04,72.36,2.69
Resort Hotel,2017,March,Direct,Transient,No Deposit,31-90 Days,4,1550.81,91.84,4.25
Resort Hotel,2017,March,Direct,Transient,No Deposit,0-30 Days,13,2926.1,68.36,2.46
Resort Hotel,2017,March,Online TA,Transient,No Deposit,31-90 Days,33,12011.99,79.68,4.48
Resort Hotel,2017,March,Online TA,Transient,No Deposit,91-180 Days,31,8964.3,53.2,5.52
Resort Hotel,2017,March,Offline TA/TO,Transient,No Deposit,0-30 Days,6,768.0,39.0,3.17
Resort Hotel,2017,March,Offline TA/TO,Transient,No Deposit,181-365 Days,1,223.2,55.8,4.0
Resort Hotel,2017,March,Groups,Transient-Party,No Deposit,91-180 Days,12,6401.0,45.98,10.75
Resort Hotel,2017,March,Complementary,Transient,No Deposit,0-30 Days,1,0.0,0.0,2.0
Resort Hotel,2017,March,Corporate,Transient,No Deposit,0-30 Days,5,205.0,41.0,1.0
Resort Hotel,2017,March,Online TA,Transient-Party,No Deposit,181-365 Days,1,113.4,37.8,3.0
Resort Hotel,2017,March,Direct,Transient,No Deposit,181-365 Days,3,335.6,48.13,2.33
Resort Hotel,2017,March,Groups,Transient,Non Refund,31-90 Days,1,138.0,46.0,3.0
Resort Hotel,2017,March,Groups,Transient,Non Refund,91-180 Days,5,615.99,53.07,2.4
Resort Hotel,2017,March,Direct,Transient,No Deposit,91-180 Days,3,794.1,60.1,4.33
Resort Hotel,2017,March,Corporate,Transient-Party,No Deposit,0-30 Days,1,48.0,48.0,1.0
Resort Hotel,2017,March,Online TA,Transient-Party,No Deposit,91-180 Days,1,168.0,42.0,4.0
Resort Hotel,2017,March,Direct,Transient-Party,No Deposit,0-30 Days,2,725.0,72.5,5.0
Resort Hotel,2017,March,Offline TA/TO,Transient,No Deposit,91-180 Days,2,1586.4,52.95,12.5
Resort Hotel,2017,March,Corporate,Transient-Party,No Deposit,91-180 Days,1,120.0,40.0,3.0
Resort Hotel,2017,March,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,1,45.0,45.0,1.0
Resort Hotel,2017,March,Groups,Transient,Non Refund,181-365 Days,2,120.0,30.0,2.0
Resort Hotel,2017,March,Offline TA/TO,Transient,No Deposit,31-90 Days,1,265.65,37.95,7.0
Resort Hotel,2017,April,Online TA,Transient,No Deposit,31-90 Days,109,49396.02,107.42,4.07
Resort Hotel,2017,April,Online TA,Transient,No Deposit,91-180 Days,77,39667.89,96.22,5.03
Resort Hotel,2017,April,Direct,Transient,No Deposit,31-90 Days,6,4343.37,128.69,5.17
Resort Hotel,2017,April,Online TA,Transient,No Deposit,0-30 Days,45,17317.0,127.04,2.89
Resort Hotel,2017,April,Online TA,Transient,No Deposit,181-365 Days,72,30078.45,79.91,5.17
Resort Hotel,2017,April,Corporate,Transient,Non Refund,0-30 Days,7,1080.0,84.29,1.86
Resort Hotel,2017,April,Complementary,Transient,No Deposit,0-30 Days,2,0.0,0.0,2.5
Resort Hotel,2017,April,Online TA,Transient-Party,No Deposit,181-365 Days,3,1630.33,121.5,5.0
Resort Hotel,2017,April,Corporate,Transient,No Deposit,0-30 Days,4,285.0,46.88,1.5
Resort Hotel,2017,April,Groups,Transient-Party,No Deposit,91-180 Days,6,2109.0,71.17,4.83
Resort Hotel,2017,April,Groups,Transient-Party,No Deposit,181-365 Days,15,7097.04,75.91,6.27
Resort Hotel,2017,April,Direct,Transient,No Deposit,0-30 Days,7,2850.5,134.5,3.14
Resort Hotel,2017,April,Offline TA/TO,Transient,No Deposit,31-90 Days,7,3348.47,81.32,5.57
Resort Hotel,2017,April,Groups,Transient,Non Refund,91-180 Days,5,3255.0,93.0,7.0
Resort Hotel,2017,April,Offline TA/TO,Transient,No Deposit,0-30 Days,2,672.0,61.5,5.5
Resort Hotel,2017,April,Direct,Transient,Refundable,0-30 Days,1,1039.5,115.5,9.0
Resort Hotel,2017,April,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,1,286.2,95.4,3.0
Resort Hotel,2017,April,Online TA,Transient-Party,No Deposit,91-180 Days,3,2430.0,90.0,9.0
Resort Hotel,2017,April,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,1,80.0,80.0,1.0
Resort Hotel,2017,April,Direct,Transient-Party,No Deposit,181-365 Days,2,460.02,76.67,3.0
Resort Hotel,2017,April,Direct,Transient,No Deposit,181-365 Days,3,1736.63,82.7,7.0
Resort Hotel,2017,April,Online TA,Transient,Refundable,91-180 Days,1,433.44,108.36,4.0
Resort Hotel,2017,April,Direct,Transient,No Deposit,91-180 Days,2,778.8,70.8,5.5
Resort Hotel,2017,April,Offline TA/TO,Transient,No Deposit,91-180 Days,2,981.84,76.12,6.5
Resort Hotel,2017,April,Corporate,Transient-Party,No Deposit,0-30 Days,1,100.0,50.0,2.0
Resort Hotel,2017,April,Groups,Transient-Party,No Deposit,31-90 Days,2,414.0,79.5,2.5
Resort Hotel,2017,April,Offline TA/TO,Contract,No Deposit,91-180 Days,1,286.65,40.95,7.0
Resort Hotel,2017,April,Groups,Transient-Party,No Deposit,0-30 Days,2,890.0,71.0,5.0
Resort Hotel,2017,April,Offline TA/TO,Contract,No Deposit,181-365 Days,2,1128.75,57.52,9.0
Resort Hotel,2017,April,Offline TA/TO,Contract,No Deposit,31-90 Days,2,769.3,54.95,7.0
Resort Hotel,2017,April,Offline TA/TO,Transient,No Deposit,181-365 Days,1,172.8,43.2,4.0
Resort Hotel,2017,May,Online TA,Transient,No Deposit,31-90 Days,72,41356.0,129.16,4.29
Resort Hotel,2017,May,Online TA,Transient,No Deposit,181-365 Days,96,53391.32,86.95,6.26
Resort Hotel,2017,May,Online TA,Transient,No Deposit,0-30 Days,51,21290.44,109.66,3.53
Resort Hotel,2017,May,Direct,Transient,No Deposit,31-90 Days,5,2823.51,147.83,4.2
Resort Hotel,2017,May,Online TA,Transient,No Deposit,91-180 Days,65,34945.82,114.22,4.65
Resort Hotel,2017,May,Offline TA/TO,Transient,No Deposit,31-90 Days,2,476.0,43.75,5.5
Resort Hotel,2017,May,Offline TA/TO,Transient,No Deposit,0-30 Days,5,1290.0,56.8,4.2
Resort Hotel,2017,May,Direct,Transient,No Deposit,91-180 Days,8,5663.99,97.95,7.13
Resort Hotel,2017,May,Online TA,Transient-Party,No Deposit,181-365 Days,10,3504.4,89.98,4.2
Resort Hotel,2017,May,Groups,Transient,Non Refund,31-90 Days,2,2640.0,110.0,12.0
Resort Hotel,2017,May,Groups,Transient-Party,No Deposit,181-365 Days,7,2027.0,78.29,3.71
Resort Hotel,2017,May,Corporate,Transient-Party,No Deposit,31-90 Days,4,420.0,52.5,2.0
Resort Hotel,2017,May,Offline TA/TO,Transient,No Deposit,181-365 Days,13,4573.6,63.9,5.92
Resort Hotel,2017,May,Offline TA/TO,Contract,No Deposit,181-365 Days,7,3205.21,53.9,8.14
Resort Hotel,2017,May,Direct,Transient,No Deposit,0-30 Days,8,3628.76,126.47,3.25
Resort Hotel,2017,May,Online TA,Transient,Refundable,181-365 Days,1,304.0,76.0,4.0
Resort Hotel,2017,May,Complementary,Transient,No Deposit,31-90 Days,1,0.0,0.0,3.0
Resort Hotel,2017,May,Offline TA/TO,Transient,No Deposit,91-180 Days,10,2300.3,44.94,5.2
Resort Hotel,2017,May,Groups,Transient-Party,No Deposit,91-180 Days,3,820.0,38.67,7.33
Resort Hotel,2017,May,Online TA,Transient-Party,No Deposit,91-180 Days,2,624.99,104.16,3.0
Resort Hotel,2017,May,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,2,106.0,53.0,1.0
Resort Hotel,2017,May,Corporate,Transient,No Deposit,0-30 Days,4,254.0,63.5,1.0
Resort Hotel,2017,May,Groups,Transient,Non Refund,365+ Days,4,1416.2,66.8,5.5
Resort Hotel,2017,May,Direct,Transient,No Deposit,181-365 Days,7,5112.34,91.32,7.71
Resort Hotel,2017,May,Complementary,Transient,No Deposit,0-30 Days,1,0.0,0.0,2.0
Resort Hotel,2017,May,Offline TA/TO,Group,No Deposit,0-30 Days,1,42.0,42.0,1.0
Resort Hotel,2017,May,Groups,Transient-Party,Refundable,181-365 Days,1,180.0,60.0,3.0
Resort Hotel,2017,May,Online TA,Transient-Party,Non Refund,181-365 Days,1,400.5,80.1,5.0
Resort Hotel,2017,May,Groups,Transient-Party,Refundable,91-180 Days,3,819.0,39.0,7.0
