hotel,market_segment,deposit_type,customer_type,agent_campany,lead_time_category,total_bookings,canceled_bookings,cancellation_rate,avg_adr,avg_stay_duration
City Hotel,Offline TA/TO,No Deposit,Contract,Agent,0-30 Days,54,7,12.96,84.97,2.93
City Hotel,Online TA,No Deposit,Contract,Agent,31-90 Days,322,96,29.81,99.3,3.38
City Hotel,Online TA,No Deposit,Group,Agent,0-30 Days,53,2,3.77,101.84,2.26
City Hotel,Offline TA/TO,No Deposit,Group,Agent,0-30 Days,41,6,14.63,92.85,2.78
City Hotel,Direct,No Deposit,Transient,Direct,31-90 Days,160,40,25.0,116.43,3.47
City Hotel,Corporate,No Deposit,Transient,Direct,0-30 Days,27,3,11.11,103.29,1.74
City Hotel,Corporate,No Deposit,Transient-Party,Company,31-90 Days,96,17,17.71,100.14,1.9
City Hotel,Groups,No Deposit,Transient-Party,Direct,31-90 Days,96,26,27.08,84.03,2.79
City Hotel,Groups,Non Refund,Transient,Direct,31-90 Days,17,17,100.0,101.12,2.12
City Hotel,Groups,No Deposit,Transient,Direct,0-30 Days,20,1,5.0,85.31,1.55
City Hotel,Offline TA/TO,No Deposit,Contract,Agent,31-90 Days,32,8,25.0,84.21,3.53
City Hotel,Direct,No Deposit,Contract,Direct,0-30 Days,1,0,0.0,105.0,1.0
City Hotel,Corporate,No Deposit,Transient,Company,31-90 Days,116,18,15.52,83.15,1.97
City Hotel,Corporate,No Deposit,Transient,Agent,31-90 Days,6,0,0.0,67.67,2.33
City Hotel,Direct,No Deposit,Transient-Party,Agent,31-90 Days,47,3,6.38,102.89,3.45
City Hotel,Offline TA/TO,Non Refund,Transient-Party,Agent,31-90 Days,2,2,100.0,90.75,2.0
City Hotel,Direct,No Deposit,Transient,Company,0-30 Days,52,4,7.69,89.02,1.73
City Hotel,Offline TA/TO,No Deposit,Transient-Party,Agent,181-365 Days,547,88,16.09,88.17,3.01
City Hotel,Direct,No Deposit,Transient,Direct,91-180 Days,94,17,18.09,129.69,3.53
City Hotel,Online TA,No Deposit,Transient,Agent,181-365 Days,3556,1875,52.73,113.71,4.02
City Hotel,Offline TA/TO,Non Refund,Transient,Agent,0-30 Days,19,19,100.0,112.03,1.95
City Hotel,Online TA,No Deposit,Group,Agent,31-90 Days,16,1,6.25,97.46,2.56
City Hotel,Groups,No Deposit,Transient-Party,Agent,181-365 Days,285,84,29.47,80.6,2.69
City Hotel,Groups,No Deposit,Transient,Agent,91-180 Days,22,14,63.64,57.65,2.32
City Hotel,Groups,Refundable,Transient-Party,Agent,31-90 Days,1,0,0.0,72.25,3.0
City Hotel,Groups,No Deposit,Contract,Agent,91-180 Days,1,1,100.0,85.0,3.0
City Hotel,Offline TA/TO,Non Refund,Transient,Agent,91-180 Days,86,86,100.0,102.96,2.86
City Hotel,Offline TA/TO,No Deposit,Group,Agent,31-90 Days,40,4,10.0,66.66,3.23
City Hotel,Offline TA/TO,Non Refund,Transient,Agent,181-365 Days,87,87,100.0,95.86,2.86
City Hotel,Offline TA/TO,Non Refund,Transient-Party,Agent,91-180 Days,2,2,100.0,90.75,2.0
City Hotel,Online TA,No Deposit,Transient-Party,Agent,181-365 Days,327,68,20.8,102.78,3.64
City Hotel,Groups,Non Refund,Transient,Company,31-90 Days,4,4,100.0,95.25,2.75
City Hotel,Offline TA/TO,Non Refund,Transient,Agent,31-90 Days,29,29,100.0,276.76,2.86
City Hotel,Direct,No Deposit,Transient,Direct,181-365 Days,29,10,34.48,124.09,3.62
City Hotel,Direct,No Deposit,Group,Agent,31-90 Days,6,1,16.67,114.16,3.0
City Hotel,Online TA,No Deposit,Contract,Agent,91-180 Days,81,44,54.32,87.22,3.47
City Hotel,Groups,Non Refund,Transient,Agent,181-365 Days,109,109,100.0,91.82,2.3
City Hotel,Online TA,No Deposit,Transient,Company,31-90 Days,2,0,0.0,84.88,5.0
City Hotel,Online TA,No Deposit,Transient-Party,Direct,0-30 Days,3,0,0.0,103.5,2.0
City Hotel,Corporate,No Deposit,Transient-Party,Agent,31-90 Days,25,1,4.0,67.59,3.08
City Hotel,Corporate,No Deposit,Transient-Party,Company,91-180 Days,19,3,15.79,81.79,1.26
City Hotel,Online TA,No Deposit,Transient,Direct,31-90 Days,15,4,26.67,121.44,3.67
City Hotel,Corporate,No Deposit,Transient-Party,Agent,0-30 Days,68,5,7.35,96.38,2.53
City Hotel,Groups,No Deposit,Transient-Party,Direct,0-30 Days,39,10,25.64,80.69,1.97
City Hotel,Groups,Non Refund,Transient,Agent,0-30 Days,15,15,100.0,111.84,2.53
City Hotel,Groups,Non Refund,Transient,Agent,365+ Days,111,111,100.0,64.02,1.77
City Hotel,Online TA,No Deposit,Contract,Agent,181-365 Days,69,27,39.13,110.89,3.68
City Hotel,Groups,No Deposit,Transient,Agent,181-365 Days,8,4,50.0,56.44,2.25
City Hotel,Aviation,No Deposit,Transient-Party,Company,0-30 Days,13,2,15.38,95.0,2.62
City Hotel,Offline TA/TO,No Deposit,Transient,Agent,181-365 Days,295,46,15.59,88.59,4.11
City Hotel,Groups,No Deposit,Transient-Party,Direct,181-365 Days,22,8,36.36,106.56,2.27
City Hotel,Aviation,No Deposit,Transient,Agent,0-30 Days,19,2,10.53,96.37,4.16
City Hotel,Groups,Non Refund,Transient,Direct,91-180 Days,16,16,100.0,137.31,3.81
City Hotel,Direct,No Deposit,Transient,Agent,181-365 Days,234,56,23.93,117.46,3.76
City Hotel,Direct,No Deposit,Group,Agent,181-365 Days,3,1,33.33,94.13,2.67
City Hotel,Offline TA/TO,Non Refund,Transient,Agent,365+ Days,23,23,100.0,84.35,1.87
City Hotel,Aviation,No Deposit,Transient,Company,0-30 Days,190,38,20.0,100.65,3.65
City Hotel,Groups,No Deposit,Transient-Party,Direct,91-180 Days,12,8,66.67,94.17,2.42
City Hotel,Direct,No Deposit,Transient-Party,Agent,181-365 Days,36,6,16.67,89.36,3.44
City Hotel,Aviation,No Deposit,Transient-Party,Agent,0-30 Days,3,3,100.0,110.0,1.0
City Hotel,Corporate,No Deposit,Transient,Direct,31-90 Days,2,1,50.0,103.33,5.0
City Hotel,Corporate,Non Refund,Transient,Company,91-180 Days,2,2,100.0,105.0,3.5
City Hotel,Offline TA/TO,No Deposit,Contract,Agent,181-365 Days,7,3,42.86,79.68,4.0
City Hotel,Direct,No Deposit,Transient-Party,Direct,91-180 Days,38,10,26.32,116.05,4.74
City Hotel,Corporate,Non Refund,Transient-Party,Company,91-180 Days,6,1,16.67,106.0,3.67
City Hotel,Online TA,Non Refund,Transient,Company,0-30 Days,2,2,100.0,144.3,1.0
City Hotel,Corporate,Non Refund,Transient-Party,Company,181-365 Days,19,18,94.74,107.63,2.79
City Hotel,Corporate,Non Refund,Transient,Company,31-90 Days,7,7,100.0,90.71,1.86
City Hotel,Groups,No Deposit,Transient-Party,Agent,365+ Days,84,12,14.29,98.34,2.92
City Hotel,Direct,No Deposit,Group,Direct,0-30 Days,11,2,18.18,129.45,1.64
City Hotel,Groups,No Deposit,Transient,Agent,365+ Days,1,0,0.0,65.0,2.0
City Hotel,Offline TA/TO,No Deposit,Transient-Party,Agent,365+ Days,140,34,24.29,100.79,2.69
City Hotel,Offline TA/TO,No Deposit,Transient,Agent,365+ Days,2,1,50.0,93.55,3.0
City Hotel,Complementary,No Deposit,Transient,Company,31-90 Days,10,3,30.0,0.0,1.4
City Hotel,Direct,Non Refund,Transient,Direct,91-180 Days,3,3,100.0,83.33,3.0
City Hotel,Online TA,Non Refund,Transient,Agent,181-365 Days,4,4,100.0,85.0,4.0
City Hotel,Corporate,No Deposit,Transient-Party,Agent,91-180 Days,7,1,14.29,143.29,1.71
City Hotel,Groups,Non Refund,Transient,Direct,181-365 Days,21,21,100.0,110.1,3.62
City Hotel,Offline TA/TO,No Deposit,Transient,Company,0-30 Days,16,1,6.25,87.82,2.56
City Hotel,Corporate,Refundable,Transient-Party,Agent,91-180 Days,1,1,100.0,79.0,6.0
City Hotel,Groups,No Deposit,Transient,Company,181-365 Days,77,2,2.6,77.5,2.43
City Hotel,Groups,Non Refund,Transient-Party,Company,181-365 Days,2,1,50.0,111.0,2.0
City Hotel,Groups,Non Refund,Transient,Company,91-180 Days,2,2,100.0,115.0,3.0
City Hotel,Complementary,No Deposit,Transient-Party,Company,0-30 Days,11,2,18.18,0.0,1.0
City Hotel,Online TA,No Deposit,Transient,Agent,365+ Days,6,5,83.33,101.61,2.83
City Hotel,Offline TA/TO,No Deposit,Transient-Party,Direct,31-90 Days,9,5,55.56,156.8,2.44
City Hotel,Groups,No Deposit,Transient-Party,Company,31-90 Days,60,10,16.67,92.95,2.72
City Hotel,Groups,No Deposit,Transient-Party,Company,0-30 Days,43,2,4.65,87.98,2.63
City Hotel,Corporate,No Deposit,Group,Direct,0-30 Days,1,1,100.0,80.0,1.0
City Hotel,Groups,Non Refund,Transient,Direct,0-30 Days,3,3,100.0,95.0,1.67
City Hotel,Corporate,No Deposit,Transient-Party,Agent,181-365 Days,7,2,28.57,92.14,8.0
City Hotel,Offline TA/TO,Non Refund,Transient,Company,91-180 Days,3,3,100.0,95.0,2.0
City Hotel,Online TA,Refundable,Transient,Agent,0-30 Days,3,3,100.0,138.11,2.67
City Hotel,Online TA,Refundable,Transient,Agent,91-180 Days,3,3,100.0,136.23,3.33
City Hotel,Direct,Non Refund,Transient,Direct,0-30 Days,4,4,100.0,102.6,1.0
City Hotel,Online TA,Refundable,Transient,Agent,31-90 Days,1,1,100.0,172.26,5.0
City Hotel,Offline TA/TO,No Deposit,Transient-Party,Direct,181-365 Days,3,1,33.33,97.3,3.67
City Hotel,Offline TA/TO,Non Refund,Transient-Party,Agent,365+ Days,1,1,100.0,90.0,1.0
City Hotel,Offline TA/TO,Non Refund,Transient,Direct,91-180 Days,3,3,100.0,146.67,3.0
City Hotel,Groups,Non Refund,Transient,Company,181-365 Days,1,1,100.0,140.0,3.0
City Hotel,Offline TA/TO,Non Refund,Transient,Direct,31-90 Days,2,2,100.0,135.0,2.0
City Hotel,Groups,Non Refund,Transient-Party,Agent,365+ Days,1,1,100.0,90.0,1.0
City Hotel,Online TA,Non Refund,Transient,Agent,0-30 Days,2,2,100.0,116.29,1.0
City Hotel,Offline TA/TO,Non Refund,Transient,Direct,181-365 Days,1,1,100.0,120.0,5.0
City Hotel,Corporate,Non Refund,Transient,Company,181-365 Days,2,2,100.0,115.0,4.0
City Hotel,Direct,No Deposit,Transient,Direct,365+ Days,1,1,100.0,159.0,4.0
City Hotel,Direct,Refundable,Transient,Agent,31-90 Days,1,1,100.0,139.5,2.0
City Hotel,Online TA,Refundable,Transient,Agent,181-365 Days,1,1,100.0,139.5,14.0
City Hotel,Groups,No Deposit,Contract,Agent,181-365 Days,9,9,100.0,62.0,2.0
City Hotel,Groups,Non Refund,Contract,Agent,181-365 Days,24,24,100.0,62.0,2.0
City Hotel,Groups,Non Refund,Contract,Agent,365+ Days,3,3,100.0,62.0,2.0
City Hotel,Offline TA/TO,Non Refund,Transient-Party,Agent,181-365 Days,12,11,91.67,96.23,2.08
City Hotel,Groups,Non Refund,Transient-Party,Agent,181-365 Days,41,41,100.0,63.41,2.1
City Hotel,Groups,Non Refund,Transient-Party,Agent,91-180 Days,3,3,100.0,86.0,3.0
City Hotel,Offline TA/TO,No Deposit,Transient-Party,Direct,0-30 Days,4,0,0.0,112.53,3.75
City Hotel,Corporate,No Deposit,Group,Agent,0-30 Days,2,1,50.0,123.5,1.0
City Hotel,Corporate,Non Refund,Transient,Agent,0-30 Days,4,4,100.0,95.0,2.0
City Hotel,Direct,Non Refund,Transient-Party,Direct,0-30 Days,2,0,0.0,117.0,1.0
City Hotel,Corporate,No Deposit,Transient,Company,91-180 Days,23,0,0.0,89.07,3.61
City Hotel,Groups,No Deposit,Group,Agent,0-30 Days,2,0,0.0,76.66,2.5
City Hotel,Offline TA/TO,Refundable,Transient-Party,Agent,0-30 Days,2,0,0.0,74.0,2.5
City Hotel,Online TA,No Deposit,Group,Agent,181-365 Days,4,1,25.0,88.63,2.25
City Hotel,Complementary,No Deposit,Group,Agent,0-30 Days,3,0,0.0,26.33,2.0
City Hotel,Online TA,No Deposit,Contract,Agent,365+ Days,1,1,100.0,81.0,3.0
City Hotel,Complementary,No Deposit,Group,Company,0-30 Days,2,0,0.0,0.0,1.0
City Hotel,Corporate,Non Refund,Transient-Party,Company,0-30 Days,5,0,0.0,92.6,1.6
City Hotel,Offline TA/TO,No Deposit,Group,Agent,91-180 Days,12,0,0.0,74.76,3.5
City Hotel,Direct,No Deposit,Group,Company,0-30 Days,1,0,0.0,50.0,1.0
City Hotel,Corporate,No Deposit,Transient,Company,181-365 Days,2,0,0.0,64.5,4.5
City Hotel,Online TA,No Deposit,Group,Agent,91-180 Days,14,0,0.0,93.0,2.43
City Hotel,Groups,No Deposit,Transient,Direct,31-90 Days,5,0,0.0,77.4,3.0
City Hotel,Corporate,Non Refund,Transient-Party,Company,31-90 Days,4,0,0.0,106.0,2.25
City Hotel,Offline TA/TO,No Deposit,Contract,Agent,91-180 Days,11,0,0.0,79.5,4.55
City Hotel,Groups,Non Refund,Transient-Party,Direct,0-30 Days,2,0,0.0,78.83,1.0
City Hotel,Groups,Non Refund,Transient-Party,Direct,31-90 Days,1,0,0.0,75.0,3.0
City Hotel,Corporate,Refundable,Transient-Party,Company,31-90 Days,2,0,0.0,81.25,1.0
City Hotel,Direct,No Deposit,Group,Agent,91-180 Days,3,0,0.0,80.28,3.0
City Hotel,Complementary,No Deposit,Contract,Direct,91-180 Days,1,0,0.0,6.0,1.0
City Hotel,Complementary,No Deposit,Transient,Direct,91-180 Days,6,0,0.0,0.0,2.0
City Hotel,Offline TA/TO,No Deposit,Group,Agent,181-365 Days,8,0,0.0,89.37,2.38
City Hotel,Groups,No Deposit,Transient,Company,0-30 Days,2,0,0.0,37.5,1.5
City Hotel,Direct,No Deposit,Transient-Party,Direct,181-365 Days,10,2,20.0,90.89,3.1
City Hotel,Offline TA/TO,No Deposit,Group,Company,0-30 Days,2,0,0.0,102.5,2.5
City Hotel,Offline TA/TO,No Deposit,Transient-Party,Company,0-30 Days,1,0,0.0,95.0,3.0
City Hotel,Online TA,Non Refund,Transient-Party,Agent,91-180 Days,1,0,0.0,173.95,4.0
City Hotel,Online TA,No Deposit,Transient,Company,91-180 Days,1,0,0.0,101.15,5.0
City Hotel,Offline TA/TO,No Deposit,Transient,Direct,31-90 Days,3,0,0.0,106.96,5.67
City Hotel,Offline TA/TO,No Deposit,Transient,Direct,91-180 Days,3,0,0.0,93.6,4.67
City Hotel,Corporate,No Deposit,Transient-Party,Direct,0-30 Days,24,0,0.0,85.11,1.71
City Hotel,Online TA,Non Refund,Transient-Party,Agent,181-365 Days,1,0,0.0,83.83,4.0
City Hotel,Complementary,No Deposit,Transient,Company,91-180 Days,2,0,0.0,0.0,1.0
City Hotel,Direct,No Deposit,Transient-Party,Company,31-90 Days,1,0,0.0,0.0,4.0
City Hotel,Complementary,No Deposit,Transient-Party,Direct,31-90 Days,4,0,0.0,68.5,2.0
City Hotel,Direct,No Deposit,Transient-Party,Company,0-30 Days,2,0,0.0,145.0,2.5
City Hotel,Online TA,No Deposit,Transient-Party,Company,181-365 Days,3,0,0.0,100.75,5.0
City Hotel,Complementary,No Deposit,Transient-Party,Agent,365+ Days,1,0,0.0,3.0,2.0
City Hotel,Complementary,No Deposit,Transient,Agent,31-90 Days,2,0,0.0,0.0,1.5
City Hotel,Corporate,No Deposit,Transient,Agent,91-180 Days,1,0,0.0,71.4,4.0
City Hotel,Complementary,No Deposit,Transient,Direct,181-365 Days,1,0,0.0,9.0,2.0
City Hotel,Groups,No Deposit,Transient,Company,31-90 Days,4,0,0.0,95.5,2.75
City Hotel,Groups,No Deposit,Transient-Party,Company,181-365 Days,4,0,0.0,111.17,5.75
City Hotel,Corporate,No Deposit,Transient-Party,Direct,31-90 Days,4,0,0.0,70.0,3.5
City Hotel,Groups,No Deposit,Group,Direct,31-90 Days,1,0,0.0,65.0,1.0
City Hotel,Complementary,No Deposit,Transient-Party,Agent,181-365 Days,1,0,0.0,20.0,5.0
City Hotel,Online TA,No Deposit,Transient,Company,181-365 Days,2,0,0.0,106.98,5.5
City Hotel,Groups,No Deposit,Group,Agent,31-90 Days,1,0,0.0,85.0,3.0
City Hotel,Groups,No Deposit,Transient-Party,Company,91-180 Days,11,0,0.0,92.82,3.55
City Hotel,Online TA,No Deposit,Group,Direct,0-30 Days,1,0,0.0,130.5,2.0
City Hotel,Offline TA/TO,No Deposit,Transient-Party,Company,31-90 Days,9,0,0.0,103.33,2.67
City Hotel,Aviation,No Deposit,Group,Agent,0-30 Days,2,0,0.0,110.0,1.0
City Hotel,Direct,No Deposit,Transient,Company,181-365 Days,1,0,0.0,135.0,1.0
City Hotel,Groups,No Deposit,Transient,Direct,181-365 Days,1,0,0.0,118.13,3.0
City Hotel,Direct,No Deposit,Transient,Company,31-90 Days,2,0,0.0,205.0,2.0
City Hotel,Online TA,No Deposit,Group,Direct,31-90 Days,2,0,0.0,120.0,1.0
City Hotel,Offline TA/TO,No Deposit,Group,Agent,365+ Days,1,0,0.0,0.0,3.0
City Hotel,Online TA,No Deposit,Transient-Party,Direct,31-90 Days,2,0,0.0,116.1,2.0
City Hotel,Online TA,No Deposit,Transient-Party,Direct,181-365 Days,1,0,0.0,104.05,3.0
City Hotel,Direct,No Deposit,Transient,Company,91-180 Days,1,0,0.0,300.0,4.0
