country,customer_type,agent_campany,is_repeated_guest,total_bookings,canceled_bookings,avg_adr,estimated_revenue,cancellation_rate
JPN,Transient-Party,Agent,0,13,1,106.89,4000.52,7.69
MAR,Transient,Direct,1,1,0,245.0,245.0,0.0
AUS,Group,Agent,0,2,0,171.02,459.08,0.0
GEO,Transient-Party,Agent,0,2,0,154.5,1405.0,0.0
HUN,Contract,Agent,0,5,0,117.15,2430.25,0.0
MAR,Transient-Party,Agent,0,14,4,79.45,3661.25,28.57
CHE,Transient,Direct,1,2,0,157.0,434.0,0.0
PAK,Transient-Party,Agent,0,1,0,243.81,731.43,0.0
AGO,Transient,Company,0,9,0,83.04,2298.99,0.0
USA,Transient,Company,0,13,0,100.26,4399.4,0.0
PRT,Contract,Company,0,1,0,105.0,210.0,0.0
MAR,Contract,Agent,0,4,0,95.06,1266.5,0.0
AUS,Contract,Agent,0,8,0,111.21,2529.8,0.0
MOZ,Transient,Direct,0,7,1,114.38,2331.02,14.29
TUN,Transient,Direct,0,1,0,75.0,525.0,0.0
MEX,Transient-Party,Agent,0,9,0,102.56,2071.0,0.0
GRC,Transient-Party,Company,0,4,0,96.75,896.0,0.0
AGO,Transient-Party,Direct,0,3,0,91.17,1297.0,0.0
COL,Contract,Agent,0,2,0,121.0,726.0,0.0
AGO,Contract,Agent,0,6,0,127.81,3828.46,0.0
HRV,Contract,Agent,0,2,0,102.76,1233.12,0.0
AGO,Contract,Direct,0,1,0,106.84,1282.08,0.0
STP,Transient,Direct,0,2,0,117.0,344.0,0.0
RUS,Contract,Agent,0,17,0,116.71,5889.48,0.0
MEX,Contract,Agent,0,4,0,109.25,704.0,0.0
UKR,Contract,Agent,0,3,0,127.33,469.0,0.0
VEN,Contract,Agent,0,2,0,129.42,776.49,0.0
FRA,Contract,Company,0,1,0,92.0,460.0,0.0
CHN,Contract,Agent,0,8,0,115.9,2140.3,0.0
KOR,Contract,Agent,0,3,0,149.67,608.0,0.0
TUR,Contract,Agent,0,6,0,100.49,1260.62,0.0
DNK,Contract,Agent,0,2,0,156.63,1253.0,0.0
FRA,Contract,Direct,0,1,0,105.0,105.0,0.0
AZE,Contract,Agent,0,2,0,112.5,555.0,0.0
BLR,Contract,Agent,0,2,0,103.75,716.0,0.0
KAZ,Contract,Agent,0,2,0,126.9,1059.0,0.0
ISR,Contract,Agent,0,6,0,127.93,3003.1,0.0
JPN,Group,Agent,0,3,0,110.72,507.72,0.0
LTU,Contract,Agent,0,1,0,124.0,248.0,0.0
LBN,Transient-Party,Agent,0,4,0,82.5,875.0,0.0
GRC,Contract,Agent,0,6,0,111.16,2446.83,0.0
SVK,Transient,Direct,0,1,0,163.0,652.0,0.0
MYS,Contract,Agent,0,1,0,85.5,256.5,0.0
SRB,Contract,Agent,0,2,0,98.59,1544.12,0.0
IRN,Contract,Agent,0,3,0,112.35,775.1,0.0
JPN,Contract,Agent,0,7,0,117.69,2048.93,0.0
SEN,Transient-Party,Agent,0,2,0,70.0,420.0,0.0
KOR,Transient-Party,Agent,0,7,0,86.22,1879.71,0.0
PER,Transient-Party,Agent,0,6,0,108.39,2006.99,0.0
EGY,Transient-Party,Agent,0,8,0,84.25,2575.0,0.0
SVK,Transient-Party,Agent,0,3,0,110.7,1148.4,0.0
BGR,Transient-Party,Agent,0,7,0,91.71,2061.0,0.0
SAU,Transient-Party,Agent,0,2,1,110.4,1718.0,50.0
KNA,Transient-Party,Agent,0,2,0,92.2,368.8,0.0
DZA,Transient-Party,Agent,0,11,0,87.57,2960.28,0.0
HRV,Transient-Party,Agent,0,7,0,122.83,2291.4,0.0
JOR,Transient-Party,Agent,0,5,0,72.2,1373.0,0.0
IDN,Transient-Party,Agent,0,1,0,75.0,300.0,0.0
KWT,Transient-Party,Agent,0,1,0,75.0,300.0,0.0
LKA,Transient-Party,Agent,0,1,0,75.0,375.0,0.0
LUX,Contract,Agent,0,2,0,120.63,820.5,0.0
ETH,Transient,Agent,0,3,1,101.26,1398.48,33.33
SWE,Transient,Company,0,2,0,81.15,499.2,0.0
KOR,Transient,Direct,0,4,0,88.75,755.0,0.0
IRQ,Transient-Party,Agent,0,5,0,108.6,2200.0,0.0
BLR,Transient,Direct,0,2,1,55.0,110.0,50.0
HND,Transient,Agent,0,1,1,79.0,79.0,100.0
RWA,Transient,Agent,0,1,0,66.45,664.5,0.0
KHM,Transient,Agent,0,1,1,99.0,396.0,100.0
MCO,Transient,Agent,0,4,1,85.74,951.92,25.0
BGD,Transient,Agent,0,10,7,154.16,6916.97,70.0
ISL,Transient-Party,Agent,0,9,0,94.44,3400.0,0.0
UZB,Transient,Agent,0,3,2,109.32,1108.39,66.67
IMN,Transient,Agent,0,2,2,117.45,963.9,100.0
TJK,Transient,Agent,0,2,1,124.05,744.3,50.0
NIC,Transient,Agent,0,1,1,139.0,417.0,100.0
ZAF,Transient,Direct,0,4,1,107.47,522.9,25.0
GGY,Transient,Agent,0,1,1,117.9,353.7,100.0
BEN,Transient,Agent,0,3,3,123.2,864.0,100.0
MAC,Transient,Agent,0,9,9,113.96,3285.42,100.0
VGB,Transient,Agent,0,1,1,100.5,301.5,100.0
FIN,Transient-Party,Direct,0,5,1,83.98,852.9,20.0
TZA,Transient,Agent,0,5,3,90.9,1486.0,60.0
GAB,Transient,Agent,0,4,2,143.38,1398.0,50.0
MKD,Transient-Party,Agent,0,2,2,102.85,822.8,100.0
BIH,Transient,Agent,0,8,3,118.33,3696.55,37.5
GHA,Transient,Agent,0,4,2,126.45,2832.2,50.0
TMP,Transient,Agent,0,3,1,139.07,1158.6,33.33
GLP,Transient,Agent,0,1,1,140.0,420.0,100.0
KEN,Transient,Agent,0,5,2,145.49,2928.44,40.0
LIE,Transient,Agent,0,3,1,102.27,927.8,33.33
GNB,Transient,Agent,0,1,1,74.8,523.6,100.0
AZE,Transient,Direct,0,1,1,108.0,108.0,100.0
MNE,Transient,Agent,0,2,2,173.25,2079.0,100.0
UMI,Transient,Agent,0,1,1,200.0,600.0,100.0
JEY,Transient,Direct,0,1,1,252.0,252.0,100.0
MYT,Transient,Agent,0,2,2,177.75,1480.5,100.0
FRO,Transient,Agent,0,3,2,165.67,4933.0,66.67
AUS,Transient,Agent,1,1,0,85.5,256.5,0.0
DZA,Contract,Agent,0,2,0,117.72,1949.95,0.0
FRA,Transient,Company,1,39,4,89.68,6224.5,10.26
ITA,Group,Company,0,1,0,0.0,0.0,0.0
PRT,Contract,Direct,1,1,0,0.0,0.0,0.0
TUR,Transient-Party,Agent,1,4,0,87.5,1050.0,0.0
ISR,Transient,Agent,1,1,0,133.0,266.0,0.0
MEX,Group,Agent,0,1,0,114.0,342.0,0.0
ESP,Transient-Party,Company,1,4,0,93.5,469.0,0.0
CMR,Transient-Party,Agent,0,1,0,170.0,850.0,0.0
SAU,Contract,Agent,0,1,0,117.0,351.0,0.0
JPN,Transient,Direct,0,8,0,133.52,4876.4,0.0
MMR,Transient,Agent,0,1,0,145.0,290.0,0.0
JPN,Transient,Direct,1,1,0,92.5,1295.0,0.0
JPN,Transient,Company,1,1,0,140.8,140.8,0.0
KOR,Transient,Agent,1,1,1,126.0,252.0,100.0
HRV,Transient,Direct,0,5,0,111.2,1487.0,0.0
IRQ,Transient,Direct,0,3,0,97.67,978.0,0.0
MYS,Transient,Direct,0,2,0,110.5,682.0,0.0
AGO,Transient,Agent,1,7,0,107.49,3063.61,0.0
IRQ,Transient,Agent,0,2,0,123.5,463.0,0.0
KOR,Transient,Company,0,1,0,142.0,284.0,0.0
DOM,Transient,Direct,0,1,0,114.0,114.0,0.0
BGR,Contract,Agent,0,2,0,112.5,630.0,0.0
SWE,Transient-Party,Company,0,8,0,112.5,2020.0,0.0
FIN,Transient-Party,Company,0,4,0,109.0,1312.0,0.0
DNK,Transient,Company,0,4,0,92.0,859.0,0.0
LBN,Contract,Agent,0,1,0,96.3,96.3,0.0
FIN,Group,Agent,0,1,0,72.25,144.5,0.0
CRI,Transient,Direct,0,2,0,96.5,291.0,0.0
TWN,Contract,Agent,0,1,0,75.0,225.0,0.0
ARG,Contract,Agent,0,2,0,76.69,537.32,0.0
PAN,Transient,Agent,0,7,0,118.09,3428.7,0.0
BRA,Transient-Party,Agent,1,2,0,72.0,288.0,0.0
AUT,Transient,Agent,1,1,0,81.9,81.9,0.0
PER,Transient,Agent,1,1,0,73.9,147.8,0.0
IRQ,Contract,Agent,0,1,0,87.7,438.5,0.0
CHL,Contract,Agent,0,1,0,107.0,107.0,0.0
IND,Contract,Agent,0,1,0,81.9,81.9,0.0
TUN,Transient-Party,Agent,0,2,0,90.0,610.0,0.0
SVK,Contract,Agent,0,1,0,96.3,288.9,0.0
GRC,Transient,Direct,1,1,0,101.0,303.0,0.0
ITA,Transient-Party,Agent,1,2,0,142.0,502.0,0.0
ESP,Contract,Agent,1,1,0,0.0,0.0,0.0
ECU,Contract,Agent,0,1,0,105.3,421.2,0.0
BFA,Transient,Agent,0,1,0,80.3,80.3,0.0
SAU,Transient-Party,Direct,0,1,0,71.0,142.0,0.0
ARM,Transient-Party,Agent,0,1,0,64.0,128.0,0.0
MAR,Transient-Party,Direct,0,4,0,94.83,1172.0,0.0
MOZ,Transient-Party,Direct,0,2,0,75.65,1513.0,0.0
KEN,Transient-Party,Agent,0,1,0,77.75,155.5,0.0
KOR,Transient-Party,Company,0,2,0,98.0,502.0,0.0
CHN,Transient,Company,0,3,0,86.25,1101.5,0.0
NOR,Transient-Party,Company,0,4,0,99.0,1182.0,0.0
EGY,Transient,Direct,0,1,0,91.0,91.0,0.0
DNK,Group,Agent,0,2,0,58.91,471.28,0.0
ARG,Transient-Party,Company,0,2,0,95.5,301.0,0.0
LBY,Transient-Party,Agent,0,4,0,75.75,758.0,0.0
PAN,Transient-Party,Agent,0,1,0,70.0,140.0,0.0
VEN,Transient-Party,Agent,0,1,0,76.0,228.0,0.0
MOZ,Transient-Party,Agent,0,14,0,91.85,4240.7,0.0
GNB,Transient-Party,Agent,0,4,0,85.84,1380.04,0.0
LBY,Transient-Party,Direct,0,1,0,90.0,90.0,0.0
LBY,Transient,Direct,0,2,0,89.5,179.0,0.0
GNB,Transient,Direct,0,2,0,82.83,1595.2,0.0
IND,Transient-Party,Company,0,3,0,102.0,718.0,0.0
MAR,Transient-Party,Company,0,6,0,75.83,1635.0,0.0
COL,Transient,Direct,0,1,0,97.0,582.0,0.0
TUR,Transient,Direct,0,7,0,94.69,1627.29,0.0
SVN,Transient,Direct,0,2,0,35.63,427.5,0.0
VEN,Transient,Company,0,1,0,107.0,107.0,0.0
GNB,Transient-Party,Direct,0,2,0,82.33,1677.65,0.0
NOR,Group,Agent,0,2,0,68.11,817.32,0.0
ITA,Contract,Direct,0,1,0,6.0,6.0,0.0
MEX,Transient,Direct,0,3,0,86.67,260.0,0.0
GRC,Transient,Company,0,11,0,106.01,4369.6,0.0
USA,Transient,Company,1,1,0,85.0,85.0,0.0
AUT,Transient,Company,1,6,1,73.83,807.0,16.67
MLI,Transient,Agent,0,1,0,89.0,89.0,0.0
DEU,Transient,Company,1,4,0,126.25,940.0,0.0
DZA,Transient,Company,0,3,0,101.54,904.52,0.0
DZA,Transient,Company,1,2,1,110.0,660.0,50.0
ITA,Transient,Company,1,5,1,107.0,2320.0,20.0
ESP,Transient-Party,Agent,1,2,1,117.5,485.0,50.0
KAZ,Transient-Party,Agent,0,1,0,63.5,254.0,0.0
GRC,Transient,Company,1,2,0,102.5,2015.0,0.0
RUS,Transient,Agent,1,1,0,0.0,0.0,0.0
NAM,Transient,Agent,0,1,0,121.61,486.44,0.0
BOL,Transient-Party,Agent,0,3,0,83.33,750.0,0.0
SVN,Transient,Company,1,2,0,130.0,410.0,0.0
LUX,Transient,Agent,1,3,0,82.67,248.0,0.0
ZAF,Transient-Party,Company,0,1,0,130.0,260.0,0.0
TUR,Transient-Party,Company,0,3,0,125.56,1220.02,0.0
MAR,Transient-Party,Direct,1,1,0,0.0,0.0,0.0
USA,Transient-Party,Agent,1,1,0,0.0,0.0,0.0
ARG,Transient-Party,Direct,0,7,0,153.76,3633.85,0.0
HRV,Transient,Company,0,7,0,90.0,2980.0,0.0
MLT,Transient,Direct,0,1,0,149.0,149.0,0.0
BEL,Transient,Company,1,6,0,100.0,1135.0,0.0
LTU,Transient,Direct,0,1,0,149.0,149.0,0.0
ITA,Group,Company,1,1,0,110.0,220.0,0.0
VEN,Transient-Party,Company,0,1,0,110.0,220.0,0.0
CHL,Transient-Party,Company,0,2,0,110.0,550.0,0.0
CRI,Transient-Party,Company,0,1,0,110.0,220.0,0.0
EST,Transient-Party,Company,0,2,0,111.35,890.8,0.0
THA,Transient-Party,Direct,0,1,0,12.0,36.0,0.0
CHL,Transient,Direct,0,2,0,134.5,647.0,0.0
CYP,Transient-Party,Direct,0,10,0,82.39,5567.65,0.0
BIH,Transient-Party,Agent,0,2,0,96.15,486.9,0.0
QAT,Transient-Party,Agent,0,1,0,70.0,210.0,0.0
PRY,Transient,Agent,0,4,0,112.6,671.8,0.0
BRB,Transient-Party,Agent,0,2,0,95.0,380.0,0.0
ABW,Transient,Agent,0,2,0,128.34,927.72,0.0
MLT,Transient-Party,Company,0,2,0,111.35,785.4,0.0
AIA,Transient,Agent,0,1,0,265.0,1060.0,0.0
URY,Transient,Direct,0,2,0,173.4,346.8,0.0
SLV,Transient,Agent,0,2,0,148.85,457.7,0.0
ZAF,Transient,Agent,1,1,0,75.0,75.0,0.0
DMA,Transient,Agent,0,1,0,105.3,421.2,0.0
POL,Group,Agent,0,1,0,12.0,12.0,0.0
GEO,Transient,Direct,0,1,0,96.3,385.2,0.0
NZL,Transient-Party,Direct,0,1,0,70.56,141.12,0.0
CHN,Transient-Party,Company,0,4,0,117.0,798.0,0.0
PYF,Transient-Party,Agent,0,1,0,144.0,432.0,0.0
JPN,Transient-Party,Direct,0,1,0,125.0,125.0,0.0
MEX,Transient,Company,0,2,0,159.5,444.0,0.0
NLD,Transient,Agent,1,3,0,103.97,483.82,0.0
DEU,Group,Agent,1,2,0,83.95,235.82,0.0
DOM,Transient-Party,Agent,0,2,0,107.34,768.01,0.0
TUN,Transient,Agent,1,1,0,0.0,0.0,0.0
GUY,Transient-Party,Agent,0,1,0,120.0,360.0,0.0
LCA,Transient-Party,Agent,0,1,0,80.75,403.75,0.0
CPV,Transient-Party,Agent,0,1,0,109.65,109.65,0.0
ATA,Transient,Agent,0,2,0,134.25,537.0,0.0
ARE,Transient,Direct,1,1,0,0.0,0.0,0.0
TUR,Group,Agent,0,2,0,97.5,365.0,0.0
RWA,Transient,Direct,0,1,0,100.08,300.24,0.0
SVK,Transient,Company,0,1,0,75.0,150.0,0.0
ROU,Transient,Company,0,3,0,84.45,1048.52,0.0
EST,Transient,Company,0,2,0,75.0,300.0,0.0
ISL,Transient,Company,0,1,0,75.0,150.0,0.0
ALB,Transient,Company,0,1,0,75.0,150.0,0.0
TUR,Transient,Company,0,1,0,75.0,150.0,0.0
LTU,Transient,Company,0,1,0,75.0,225.0,0.0
LVA,Transient,Company,0,1,0,75.0,225.0,0.0
MKD,Transient,Company,0,6,0,75.0,1350.0,0.0
MLT,Transient,Company,0,1,0,75.0,225.0,0.0
SVN,Transient-Party,Direct,0,2,0,32.5,130.0,0.0
BGR,Transient,Direct,0,1,0,81.0,243.0,0.0
MNE,Transient-Party,Direct,0,2,0,65.0,455.0,0.0
LTU,Transient-Party,Direct,0,1,0,65.0,260.0,0.0
MNE,Transient-Party,Agent,0,1,0,75.0,300.0,0.0
GRC,Transient-Party,Direct,0,2,0,75.59,302.36,0.0
IRN,Transient,Direct,0,2,0,78.0,156.0,0.0
BRA,Group,Direct,0,1,0,65.0,65.0,0.0
IRL,Transient,Company,1,2,0,77.5,305.0,0.0
ARG,Group,Agent,1,1,0,125.8,503.2,0.0
GTM,Transient,Agent,0,3,0,80.33,368.0,0.0
ALB,Transient-Party,Agent,0,3,0,87.07,848.6,0.0
SGP,Group,Agent,0,1,0,67.15,67.15,0.0
MDV,Transient-Party,Agent,0,1,0,75.0,75.0,0.0
AGO,Group,Direct,0,2,0,44.0,616.0,0.0
NGA,Group,Agent,1,1,0,58.31,58.31,0.0
MOZ,Transient,Direct,1,1,0,0.0,0.0,0.0
DNK,Transient,Direct,1,1,0,97.0,97.0,0.0
ASM,Transient,Agent,0,1,0,72.07,72.07,0.0
SVK,Transient-Party,Company,0,2,0,90.0,360.0,0.0
LTU,Transient-Party,Company,0,2,0,85.0,425.0,0.0
HRV,Transient-Party,Company,0,1,0,85.0,170.0,0.0
SYR,Transient-Party,Direct,0,1,0,104.0,208.0,0.0
QAT,Transient-Party,Direct,0,1,0,104.0,208.0,0.0
AUS,Group,Direct,0,1,0,100.0,100.0,0.0
ISR,Group,Agent,1,2,0,91.9,268.8,0.0
NOR,Transient,Direct,1,1,0,123.0,123.0,0.0
SWE,Group,Direct,0,1,0,130.5,261.0,0.0
POL,Group,Direct,1,1,0,126.0,126.0,0.0
MRT,Transient,Agent,0,1,0,97.65,585.9,0.0
CN,Transient-Party,Company,0,3,0,87.33,557.0,0.0
LKA,Transient,Company,0,1,0,119.0,1547.0,0.0
SYR,Transient,Agent,0,1,0,137.0,548.0,0.0
ESP,Group,Company,1,1,0,95.0,285.0,0.0
TWN,Transient-Party,Company,0,1,0,110.0,440.0,0.0
JPN,Transient-Party,Company,0,1,0,110.0,110.0,0.0
NCL,Transient,Agent,0,1,0,175.5,702.0,0.0
ECU,Transient-Party,Agent,0,1,0,120.0,240.0,0.0
DZA,Transient,Direct,0,1,0,150.0,150.0,0.0
VEN,Transient,Direct,0,1,0,100.0,400.0,0.0
KIR,Transient,Agent,0,1,0,108.0,432.0,0.0
SDN,Transient,Agent,0,1,0,99.0,297.0,0.0
PER,Transient,Direct,0,1,0,150.0,150.0,0.0
USA,Group,Direct,0,1,0,130.0,130.0,0.0
HUN,Transient,Company,0,1,0,110.0,330.0,0.0
USA,Group,Agent,1,1,0,128.0,128.0,0.0
PAK,Transient-Party,Company,0,2,0,97.5,195.0,0.0
ZAF,Group,Agent,0,1,0,90.0,360.0,0.0
IRN,Transient-Party,Company,0,1,0,100.0,200.0,0.0
PER,Transient-Party,Company,0,1,0,100.0,400.0,0.0
ATF,Transient,Agent,0,1,0,126.0,252.0,0.0
DNK,Transient-Party,Direct,0,1,0,150.5,301.0,0.0
LBY,Transient,Agent,0,1,0,170.0,510.0,0.0
PHL,Transient-Party,Agent,0,1,0,139.5,418.5,0.0
ZAF,Transient-Party,Direct,0,2,0,95.9,383.6,0.0
SLE,Transient,Agent,0,1,0,121.43,850.01,0.0
LAO,Transient,Agent,0,2,0,181.67,909.99,0.0
CN,Transient-Party,Direct,0,1,0,99.0,396.0,0.0
LBN,Transient,Direct,0,1,0,140.0,140.0,0.0
